text,label
Tôi cảm thấy trung lập về chuyện gia đình.,trung tính
Tôi cảm thấy rất vui vì chuyến xe buýt.,tích cực
sản phẩm tôi mua làm tôi rất khó chịu.,tiêu cực
Tôi nghĩ bữa ăn trưa không có gì đặc biệt.,trung tính
Tôi cực kỳ thích dịch vụ ở quán.,tích cực
Tôi cảm thấy rất vui vì bữa tiệc hôm qua.,tích cực
bài đăng trên mạng xã hội làm tôi rất khó chịu.,tiêu cực
Tôi nghĩ việc sửa nhà không có gì đặc biệt.,trung tính
Tôi cảm thấy rất vui vì dịch vụ ở quán.,tích cực
Tôi yêu việc kế hoạch mới.,tích cực
buổi chiều khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi rất buồn vì dịch vụ ở quán.,tiêu cực
chuyện gia đình làm tôi rất khó chịu.,tiêu cực
Thật hạnh phúc khi kết quả làm việc.,tích cực
đồ ăn ở quán chỉ là chuyện hằng ngày.,trung tính
thời tiết hôm nay chỉ là chuyện hằng ngày.,trung tính
Tôi cực kỳ thích cuộc hẹn.,tích cực
"Không tốt cũng không xấu, chuyện gia đình.",trung tính
bữa ăn trưa thật sự khiến tôi mệt mỏi.,tiêu cực
đồ ăn ở quán là chuyện bình thường.,trung tính
Tôi cảm thấy rất vui vì kết quả làm việc.,tích cực
Tôi cảm thấy tiêu cực về sản phẩm tôi mua.,tiêu cực
Tôi cảm thấy tiêu cực về sản phẩm tôi mua.,tiêu cực
việc sửa nhà khiến tôi cảm thấy thật tốt đẹp.,tích cực
chuyến du lịch làm tôi rất khó chịu.,tiêu cực
Tôi nghĩ việc học không có gì đặc biệt.,trung tính
"Hôm nay thật kinh khủng, đồ ăn ở quán.",tiêu cực
công việc là chuyện bình thường.,trung tính
Thật hạnh phúc khi việc học.,tích cực
Tôi không có ý kiến về một tin nhắn bất ngờ.,trung tính
sức khỏe thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi cực kỳ thích đồ ăn ở quán.,tích cực
người bạn của tôi khiến tôi cảm thấy thật tốt đẹp.,tích cực
bài tập nhóm khiến tôi cảm thấy thật tốt đẹp.,tích cực
buổi chiều thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi cực kỳ thích buổi họp.,tích cực
Tôi rất hài lòng về sức khỏe.,tích cực
Thật tệ khi chuyện gia đình.,tiêu cực
Tôi rất hài lòng về ngày cuối tuần.,tích cực
Thật tuyệt vời khi chuyến du lịch.,tích cực
tài chính gần đây là chuyện bình thường.,trung tính
Tôi cảm thấy rất vui vì việc mua sắm.,tích cực
Tôi ghét việc việc sửa nhà.,tiêu cực
Thật hạnh phúc khi bộ phim tối qua.,tích cực
Tôi cảm thấy trung lập về bài tập nhóm.,trung tính
Tôi cực kỳ thích kế hoạch mới.,tích cực
công việc không ảnh hưởng gì đến tôi.,trung tính
"Hôm nay thật tuyệt, bài đăng trên mạng xã hội.",tích cực
Tôi rất buồn vì bài nhạc.,tiêu cực
Thật tuyệt vời khi một tin nhắn bất ngờ.,tích cực
dịch vụ ở quán thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi ghét việc bài đăng trên mạng xã hội.,tiêu cực
một tin nhắn bất ngờ làm tôi rất khó chịu.,tiêu cực
chuyến xe buýt khiến tôi cảm thấy thật tốt đẹp.,tích cực
bài tập nhóm cũng được.,trung tính
Tôi cực kỳ thích việc nhà.,tích cực
Tôi cảm thấy thất vọng về ngày cuối tuần.,tiêu cực
Tôi yêu việc chuyện gia đình.,tích cực
Tôi không có ý kiến về chuyện gia đình.,trung tính
việc mua sắm chỉ là chuyện hằng ngày.,trung tính
Tôi cảm thấy thất vọng về kết quả làm việc.,tiêu cực
"Hôm nay thật tuyệt, bài tập nhóm.",tích cực
Tôi cảm thấy tiêu cực về kế hoạch mới.,tiêu cực
Tôi không có ý kiến về việc sửa nhà.,trung tính
Tôi yêu việc bài đăng trên mạng xã hội.,tích cực
Tôi cảm thấy trung lập về chuyến du lịch.,trung tính
Thật tuyệt vời khi kết quả làm việc.,tích cực
Tôi rất hài lòng về bộ phim tối qua.,tích cực
Thật tệ khi chuyến xe buýt.,tiêu cực
Tôi ghét việc bữa tiệc hôm qua.,tiêu cực
Thật tệ khi tài chính gần đây.,tiêu cực
bài nhạc làm tôi rất khó chịu.,tiêu cực
Thật hạnh phúc khi buổi họp.,tích cực
cuộc gọi lúc sáng không ảnh hưởng gì đến tôi.,trung tính
tài chính gần đây cũng được.,trung tính
kết quả làm việc khiến tôi cảm thấy thật tốt đẹp.,tích cực
buổi họp làm tôi rất khó chịu.,tiêu cực
Tôi cảm thấy rất vui vì một tin nhắn bất ngờ.,tích cực
Tôi cực kỳ thích bài kiểm tra.,tích cực
một tin nhắn bất ngờ cũng được.,trung tính
"Không tốt cũng không xấu, sức khỏe.",trung tính
bộ phim tối qua thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi cực kỳ thích chuyện gia đình.,tích cực
"Hôm nay thật kinh khủng, kế hoạch mới.",tiêu cực
cuộc hẹn chỉ là chuyện hằng ngày.,trung tính
thời tiết hôm nay là chuyện bình thường.,trung tính
Tôi cảm thấy rất vui vì ngày cuối tuần.,tích cực
Tôi rất hài lòng về chuyến du lịch.,tích cực
Tôi nghĩ cuộc hẹn không có gì đặc biệt.,trung tính
một tin nhắn bất ngờ chỉ là chuyện hằng ngày.,trung tính
bữa tiệc hôm qua cũng được.,trung tính
sức khỏe là chuyện bình thường.,trung tính
ngày cuối tuần thật sự khiến tôi mệt mỏi.,tiêu cực
bài kiểm tra chỉ là chuyện hằng ngày.,trung tính
Tôi rất hài lòng về một tin nhắn bất ngờ.,tích cực
Tôi cảm thấy trung lập về bộ phim tối qua.,trung tính
Thật tệ khi đồ ăn ở quán.,tiêu cực
công việc khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi rất buồn vì một tin nhắn bất ngờ.,tiêu cực
Thật tuyệt vời khi chuyến du lịch.,tích cực
Thật tuyệt vời khi chuyến xe buýt.,tích cực
người bạn của tôi thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi yêu việc đồ ăn ở quán.,tích cực
Thật hạnh phúc khi ngày cuối tuần.,tích cực
Tôi nghĩ ngày cuối tuần không có gì đặc biệt.,trung tính
Tôi cảm thấy thất vọng về việc học.,tiêu cực
Thật tuyệt vời khi việc mua sắm.,tích cực
Tôi cực kỳ thích tài chính gần đây.,tích cực
Tôi cực kỳ thích kết quả làm việc.,tích cực
sức khỏe chỉ là chuyện hằng ngày.,trung tính
Thật tệ khi sản phẩm tôi mua.,tiêu cực
trò chơi mới không ảnh hưởng gì đến tôi.,trung tính
Tôi cực kỳ thích trò chơi mới.,tích cực
Tôi cảm thấy rất vui vì bữa ăn trưa.,tích cực
Tôi cực kỳ thích thời tiết hôm nay.,tích cực
một tin nhắn bất ngờ không ảnh hưởng gì đến tôi.,trung tính
Tôi nghĩ một tin nhắn bất ngờ không có gì đặc biệt.,trung tính
buổi họp cũng được.,trung tính
"Hôm nay thật kinh khủng, việc học.",tiêu cực
Tôi cảm thấy tiêu cực về dịch vụ ở quán.,tiêu cực
"Hôm nay thật kinh khủng, cuộc hẹn.",tiêu cực
Tôi cảm thấy rất vui vì việc sửa nhà.,tích cực
buổi họp khiến tôi cảm thấy thật tốt đẹp.,tích cực
Thật tuyệt vời khi chuyện gia đình.,tích cực
tài chính gần đây làm tôi rất khó chịu.,tiêu cực
Tôi nghĩ bữa tiệc hôm qua không có gì đặc biệt.,trung tính
Tôi cực kỳ thích việc sửa nhà.,tích cực
"Hôm nay thật kinh khủng, đồ ăn ở quán.",tiêu cực
Tôi cảm thấy thất vọng về bộ phim tối qua.,tiêu cực
Tôi cảm thấy trung lập về kế hoạch mới.,trung tính
Thật tệ khi bài đăng trên mạng xã hội.,tiêu cực
Thật tệ khi ngày cuối tuần.,tiêu cực
bài kiểm tra là chuyện bình thường.,trung tính
Tôi cảm thấy rất vui vì công việc.,tích cực
chuyến xe buýt cũng được.,trung tính
Tôi cực kỳ thích dịch vụ ở quán.,tích cực
Tôi nghĩ một tin nhắn bất ngờ không có gì đặc biệt.,trung tính
bài nhạc khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi rất buồn vì tin tức hôm nay.,tiêu cực
Tôi rất buồn vì việc học.,tiêu cực
Thật hạnh phúc khi cuộc hẹn.,tích cực
Tôi ghét việc bữa tiệc hôm qua.,tiêu cực
Tôi cảm thấy rất vui vì dịch vụ ở quán.,tích cực
"Hôm nay thật tuyệt, tài chính gần đây.",tích cực
chuyến du lịch không ảnh hưởng gì đến tôi.,trung tính
bài đăng trên mạng xã hội không ảnh hưởng gì đến tôi.,trung tính
kết quả làm việc thật sự khiến tôi mệt mỏi.,tiêu cực
cuộc gọi lúc sáng thật sự khiến tôi mệt mỏi.,tiêu cực
Thật hạnh phúc khi bộ phim tối qua.,tích cực
Tôi rất hài lòng về chuyến xe buýt.,tích cực
Tôi cảm thấy thất vọng về cuộc gọi lúc sáng.,tiêu cực
Tôi không có ý kiến về bài nhạc.,trung tính
thời tiết hôm nay là chuyện bình thường.,trung tính
Tôi không có ý kiến về người bạn của tôi.,trung tính
Tôi cảm thấy tiêu cực về ngày cuối tuần.,tiêu cực
Tôi cảm thấy trung lập về chuyến du lịch.,trung tính
chuyện gia đình cũng được.,trung tính
"Hôm nay thật kinh khủng, kết quả làm việc.",tiêu cực
tin tức hôm nay khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi yêu việc kết quả làm việc.,tích cực
bữa ăn trưa chỉ là chuyện hằng ngày.,trung tính
việc nhà khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi không có ý kiến về chuyến xe buýt.,trung tính
Thật hạnh phúc khi chuyện gia đình.,tích cực
Tôi không có ý kiến về chuyến xe buýt.,trung tính
Tôi ghét việc đồ ăn ở quán.,tiêu cực
Tôi cảm thấy rất vui vì bài đăng trên mạng xã hội.,tích cực
Tôi rất buồn vì sản phẩm tôi mua.,tiêu cực
Thật hạnh phúc khi cuộc hẹn.,tích cực
"Không tốt cũng không xấu, ngày cuối tuần.",trung tính
"Hôm nay thật kinh khủng, một tin nhắn bất ngờ.",tiêu cực
Tôi ghét việc bữa ăn trưa.,tiêu cực
Tôi rất buồn vì bộ phim tối qua.,tiêu cực
chuyện gia đình làm tôi rất khó chịu.,tiêu cực
công việc cũng được.,trung tính
kế hoạch mới thật sự khiến tôi mệt mỏi.,tiêu cực
"Hôm nay thật tuyệt, bộ phim tối qua.",tích cực
chuyện gia đình cũng được.,trung tính
Tôi cực kỳ thích một tin nhắn bất ngờ.,tích cực
"Hôm nay thật kinh khủng, ngày cuối tuần.",tiêu cực
Thật tuyệt vời khi buổi họp.,tích cực
Tôi rất buồn vì tài chính gần đây.,tiêu cực
Tôi cảm thấy thất vọng về người bạn của tôi.,tiêu cực
"Không tốt cũng không xấu, buổi chiều.",trung tính
Tôi cảm thấy trung lập về bài nhạc.,trung tính
bài kiểm tra khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi yêu việc việc mua sắm.,tích cực
Tôi cảm thấy thất vọng về sản phẩm tôi mua.,tiêu cực
việc nhà khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi không có ý kiến về thời tiết hôm nay.,trung tính
Tôi rất buồn vì việc sửa nhà.,tiêu cực
Tôi cực kỳ thích tin tức hôm nay.,tích cực
Tôi không có ý kiến về việc nhà.,trung tính
sản phẩm tôi mua cũng được.,trung tính
Tôi nghĩ việc mua sắm không có gì đặc biệt.,trung tính
Tôi không có ý kiến về chuyến du lịch.,trung tính
Tôi yêu việc việc mua sắm.,tích cực
bài kiểm tra thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi rất buồn vì việc nhà.,tiêu cực
việc sửa nhà cũng được.,trung tính
buổi chiều cũng được.,trung tính
Tôi rất hài lòng về cuộc hẹn.,tích cực
Tôi không có ý kiến về dịch vụ ở quán.,trung tính
Tôi cảm thấy trung lập về bài nhạc.,trung tính
chuyến xe buýt chỉ là chuyện hằng ngày.,trung tính
"Hôm nay thật kinh khủng, chuyến du lịch.",tiêu cực
Tôi cảm thấy trung lập về bài nhạc.,trung tính
Thật tệ khi bài nhạc.,tiêu cực
Tôi cảm thấy rất vui vì việc sửa nhà.,tích cực
"Không tốt cũng không xấu, thời tiết hôm nay.",trung tính
"Không tốt cũng không xấu, kế hoạch mới.",trung tính
Tôi rất buồn vì kế hoạch mới.,tiêu cực
"Hôm nay thật kinh khủng, cuộc hẹn.",tiêu cực
thời tiết hôm nay thật sự khiến tôi mệt mỏi.,tiêu cực
công việc chỉ là chuyện hằng ngày.,trung tính
Tôi rất buồn vì cuộc gọi lúc sáng.,tiêu cực
"Hôm nay thật kinh khủng, thời tiết hôm nay.",tiêu cực
Tôi không có ý kiến về tài chính gần đây.,trung tính
Tôi không có ý kiến về công việc.,trung tính
Tôi cảm thấy thất vọng về thời tiết hôm nay.,tiêu cực
bài nhạc không ảnh hưởng gì đến tôi.,trung tính
Thật tệ khi chuyện gia đình.,tiêu cực
"Hôm nay thật tuyệt, việc nhà.",tích cực
công việc khiến tôi cảm thấy thật tốt đẹp.,tích cực
buổi chiều không ảnh hưởng gì đến tôi.,trung tính
Tôi rất buồn vì chuyến du lịch.,tiêu cực
việc nhà cũng được.,trung tính
Tôi nghĩ sản phẩm tôi mua không có gì đặc biệt.,trung tính
"Hôm nay thật tuyệt, sức khỏe.",tích cực
Tôi cực kỳ thích thời tiết hôm nay.,tích cực
Thật hạnh phúc khi sản phẩm tôi mua.,tích cực
Tôi rất hài lòng về tài chính gần đây.,tích cực
"Không tốt cũng không xấu, chuyến du lịch.",trung tính
Tôi cảm thấy rất vui vì cuộc gọi lúc sáng.,tích cực
Tôi nghĩ kế hoạch mới không có gì đặc biệt.,trung tính
bữa tiệc hôm qua cũng được.,trung tính
một tin nhắn bất ngờ làm tôi rất khó chịu.,tiêu cực
Tôi cảm thấy thất vọng về kế hoạch mới.,tiêu cực
bài tập nhóm thật sự khiến tôi mệt mỏi.,tiêu cực
sức khỏe cũng được.,trung tính
"Không tốt cũng không xấu, tài chính gần đây.",trung tính
sản phẩm tôi mua cũng được.,trung tính
Tôi rất buồn vì người bạn của tôi.,tiêu cực
Thật tuyệt vời khi cuộc hẹn.,tích cực
"Hôm nay thật kinh khủng, cuộc hẹn.",tiêu cực
tài chính gần đây không ảnh hưởng gì đến tôi.,trung tính
Tôi cảm thấy thất vọng về dịch vụ ở quán.,tiêu cực
Thật hạnh phúc khi bữa ăn trưa.,tích cực
Tôi cảm thấy trung lập về bài tập nhóm.,trung tính
việc học làm tôi rất khó chịu.,tiêu cực
Tôi nghĩ chuyến du lịch không có gì đặc biệt.,trung tính
bài nhạc không ảnh hưởng gì đến tôi.,trung tính
"Hôm nay thật kinh khủng, bài kiểm tra.",tiêu cực
Tôi ghét việc sản phẩm tôi mua.,tiêu cực
"Hôm nay thật kinh khủng, sức khỏe.",tiêu cực
Thật tuyệt vời khi bài nhạc.,tích cực
Tôi rất hài lòng về việc sửa nhà.,tích cực
Tôi cảm thấy thất vọng về bữa tiệc hôm qua.,tiêu cực
Thật tệ khi chuyến xe buýt.,tiêu cực
tài chính gần đây cũng được.,trung tính
Tôi cảm thấy rất vui vì việc mua sắm.,tích cực
Tôi không có ý kiến về sản phẩm tôi mua.,trung tính
đồ ăn ở quán làm tôi rất khó chịu.,tiêu cực
Tôi cảm thấy thất vọng về thời tiết hôm nay.,tiêu cực
chuyến du lịch chỉ là chuyện hằng ngày.,trung tính
Thật tuyệt vời khi trò chơi mới.,tích cực
Tôi yêu việc kết quả làm việc.,tích cực
"Hôm nay thật kinh khủng, việc nhà.",tiêu cực
Thật tuyệt vời khi cuộc hẹn.,tích cực
Tôi rất buồn vì công việc.,tiêu cực
thời tiết hôm nay là chuyện bình thường.,trung tính
cuộc hẹn cũng được.,trung tính
Thật tệ khi đồ ăn ở quán.,tiêu cực
Tôi ghét việc sức khỏe.,tiêu cực
Tôi cảm thấy thất vọng về đồ ăn ở quán.,tiêu cực
bài nhạc cũng được.,trung tính
công việc làm tôi rất khó chịu.,tiêu cực
Thật hạnh phúc khi người bạn của tôi.,tích cực
"Không tốt cũng không xấu, bài đăng trên mạng xã hội.",trung tính
"Không tốt cũng không xấu, việc mua sắm.",trung tính
Thật tuyệt vời khi buổi họp.,tích cực
Tôi không có ý kiến về bữa tiệc hôm qua.,trung tính
Tôi cảm thấy tiêu cực về bữa ăn trưa.,tiêu cực
kế hoạch mới khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi cảm thấy tiêu cực về ngày cuối tuần.,tiêu cực
Thật tuyệt vời khi việc sửa nhà.,tích cực
"Hôm nay thật tuyệt, thời tiết hôm nay.",tích cực
Thật hạnh phúc khi sức khỏe.,tích cực
Tôi nghĩ kết quả làm việc không có gì đặc biệt.,trung tính
Tôi rất hài lòng về cuộc hẹn.,tích cực
bữa ăn trưa làm tôi rất khó chịu.,tiêu cực
Thật tệ khi sức khỏe.,tiêu cực
Tôi cực kỳ thích dịch vụ ở quán.,tích cực
Tôi cảm thấy thất vọng về thời tiết hôm nay.,tiêu cực
Tôi yêu việc người bạn của tôi.,tích cực
Tôi cảm thấy tiêu cực về đồ ăn ở quán.,tiêu cực
tin tức hôm nay chỉ là chuyện hằng ngày.,trung tính
việc học thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi cảm thấy trung lập về sức khỏe.,trung tính
Tôi ghét việc bữa ăn trưa.,tiêu cực
Thật tuyệt vời khi công việc.,tích cực
Tôi ghét việc bữa ăn trưa.,tiêu cực
Tôi ghét việc sản phẩm tôi mua.,tiêu cực
công việc làm tôi rất khó chịu.,tiêu cực
Tôi cực kỳ thích bộ phim tối qua.,tích cực
Tôi ghét việc kết quả làm việc.,tiêu cực
người bạn của tôi không ảnh hưởng gì đến tôi.,trung tính
Tôi cảm thấy rất vui vì trò chơi mới.,tích cực
công việc không ảnh hưởng gì đến tôi.,trung tính
Thật tuyệt vời khi chuyện gia đình.,tích cực
Tôi ghét việc công việc.,tiêu cực
"Hôm nay thật kinh khủng, một tin nhắn bất ngờ.",tiêu cực
"Hôm nay thật tuyệt, thời tiết hôm nay.",tích cực
Tôi cảm thấy thất vọng về sức khỏe.,tiêu cực
Thật hạnh phúc khi sản phẩm tôi mua.,tích cực
việc sửa nhà cũng được.,trung tính
sức khỏe là chuyện bình thường.,trung tính
việc nhà làm tôi rất khó chịu.,tiêu cực
Tôi cảm thấy tiêu cực về tài chính gần đây.,tiêu cực
"Hôm nay thật tuyệt, bài tập nhóm.",tích cực
Tôi cực kỳ thích sản phẩm tôi mua.,tích cực
Tôi ghét việc ngày cuối tuần.,tiêu cực
đồ ăn ở quán thật sự khiến tôi mệt mỏi.,tiêu cực
"Hôm nay thật tuyệt, công việc.",tích cực
kế hoạch mới chỉ là chuyện hằng ngày.,trung tính
chuyến xe buýt cũng được.,trung tính
Tôi cảm thấy trung lập về tài chính gần đây.,trung tính
Tôi rất buồn vì dịch vụ ở quán.,tiêu cực
bài kiểm tra không ảnh hưởng gì đến tôi.,trung tính
cuộc hẹn làm tôi rất khó chịu.,tiêu cực
"Không tốt cũng không xấu, bài nhạc.",trung tính
Tôi cảm thấy trung lập về sản phẩm tôi mua.,trung tính
công việc là chuyện bình thường.,trung tính
Tôi cảm thấy rất vui vì chuyến du lịch.,tích cực
Thật hạnh phúc khi sản phẩm tôi mua.,tích cực
